country,year,estimate,hi,lo
GUY,2011,0.24,0.47,0.53
GUY,2012,0.43,0.38,0.42
GUY,2013,0.33,0.32,0.36
GUY,2014,0.3,0.6,0.67
GUY,2015,0.54,0.55,0.63
GUY,2016,0.49,0.54,0.61
GUY,2017,0.48,0.53,0.61
HND,2009,NA,0.61,0.74
HND,2010,0.51,0.69,0.86
HND,2011,0.59,0.89,0.95
HND,2012,0.76,0.43,0.53
HND,2013,0.36,0.47,0.58
HND,2014,0.4,0.49,0.62
HND,2015,0.42,0.4,0.5
HND,2016,0.34,0.6,0.77
HND,2017,0.52,0.59,0.76
HRV,2009,NA,NA,NA
HRV,2010,NA,NA,NA
HRV,2011,NA,NA,NA
HRV,2012,NA,NA,NA
HRV,2013,NA,NA,NA
HRV,2014,NA,NA,NA
HRV,2015,NA,NA,NA
HRV,2016,NA,NA,NA
HRV,2017,NA,NA,NA
HTI,2009,NA,NA,NA
HTI,2010,NA,NA,NA
HTI,2011,NA,0.04,0.06
HTI,2012,0.04,0.39,0.49
HTI,2013,0.31,0.35,0.44
HTI,2014,0.29,0.36,0.46
HTI,2015,0.3,0.32,0.41
HTI,2016,0.26,0.35,0.44
HTI,2017,0.29,0.4,0.5
HUN,2009,NA,NA,NA
HUN,2010,NA,NA,NA
HUN,2011,NA,NA,NA
HUN,2012,NA,NA,NA
HUN,2013,NA,NA,NA
HUN,2014,NA,NA,NA
HUN,2015,NA,NA,NA
HUN,2016,NA,NA,NA
HUN,2017,NA,NA,NA
IDN,2009,NA,NA,NA
IDN,2010,NA,NA,NA
IDN,2011,NA,NA,NA
IDN,2012,NA,NA,NA
IDN,2013,NA,0.04,0.04
IDN,2014,0.03,0.05,0.05
IDN,2015,0.04,0.06,0.07
IDN,2016,0.05,0.02,0.02
IDN,2017,0.01,0.01,0.01
IND,2009,NA,NA,NA
IND,2010,NA,0.06,0.09
IND,2011,0.04,0.07,0.1
IND,2012,0.05,0.08,0.11
IND,2013,0.05,0.09,0.13
IND,2014,0.06,0.1,0.14
IND,2015,0.07,0.25,0.36
IND,2016,0.17,0.27,0.39
IND,2017,0.18,0.23,0.33
IRL,2009,NA,NA,NA
IRL,2010,NA,NA,NA
IRL,2011,NA,NA,NA
IRL,2012,NA,NA,NA
IRL,2013,NA,NA,NA
IRL,2014,NA,NA,NA
IRL,2015,NA,NA,NA
IRL,2016,NA,NA,NA
IRL,2017,NA,NA,NA
IRN,2009,NA,0.02,0.02
IRN,2010,0.01,0.13,0.18
IRN,2011,0.09,0.03,0.04
IRN,2012,0.02,0.09,0.13
IRN,2013,0.06,0.12,0.18
IRN,2014,0.08,0.15,0.24
IRN,2015,0.09,0.2,0.32
IRN,2016,0.11,0.23,0.39
IRN,2017,0.13,0.31,0.58
IRQ,2009,NA,NA,NA
IRQ,2010,NA,NA,NA
IRQ,2011,NA,NA,NA
IRQ,2012,NA,NA,NA
IRQ,2013,NA,NA,NA
IRQ,2014,NA,NA,NA
IRQ,2015,NA,NA,NA
IRQ,2016,NA,NA,NA
IRQ,2017,NA,NA,NA
ISL,2009,NA,NA,NA
ISL,2010,NA,NA,NA
ISL,2011,NA,NA,NA
ISL,2012,NA,NA,NA
ISL,2013,NA,NA,NA
ISL,2014,NA,NA,NA
ISL,2015,NA,NA,NA
ISL,2016,NA,NA,NA
ISL,2017,NA,NA,NA
ISR,2009,NA,NA,NA
ISR,2010,NA,NA,NA
ISR,2011,NA,NA,NA
ISR,2012,NA,NA,NA
ISR,2013,NA,NA,NA
ISR,2014,NA,NA,NA
ISR,2015,NA,NA,NA
ISR,2016,NA,NA,NA
ISR,2017,NA,NA,NA
ITA,2009,NA,NA,NA
ITA,2010,NA,NA,NA
ITA,2011,NA,NA,NA
ITA,2012,NA,NA,NA
ITA,2013,NA,NA,NA
ITA,2014,NA,NA,NA
ITA,2015,NA,NA,NA
ITA,2016,NA,NA,NA
ITA,2017,NA,NA,NA
JAM,2009,NA,NA,NA
JAM,2010,NA,NA,NA
JAM,2011,NA,0.63,0.75
JAM,2012,0.54,NA,NA
JAM,2013,NA,0.68,0.79
JAM,2014,0.59,0.59,0.69
JAM,2015,0.51,NA,NA
JAM,2016,NA,NA,NA
JAM,2017,NA,NA,NA
JOR,2009,NA,NA,NA
JOR,2010,NA,NA,NA
JOR,2011,NA,NA,NA
JOR,2012,NA,NA,NA
JOR,2013,NA,NA,NA
JOR,2014,NA,NA,NA
JOR,2015,NA,NA,NA
JOR,2016,NA,NA,NA
